Subject,Course Score,Learning Score,quiz Score,Complexity,Learning Content
Network and System Administration,30,10,18,beginner,assignment
Network and System Administration,26,27,18,beginner,video
CyberSecurity,32,18,27,beginner,assignment
Artificial Intelligence and Machine Learning,22,33,14,beginner,video
CyberSecurity,24,0,16,beginner,assignment
Cloud Computing,40,9,36,beginner,assignment
IT Project Management,33,4,31,beginner,assignment
Network and System Administration,16,16,3,beginner,video
Network and System Administration,9,10,40,beginner,quiz
Devops and Systems Integration,29,33,25,beginner,video
Devops and Systems Integration,25,32,5,beginner,video
Devops and Systems Integration,8,20,34,beginner,quiz
Data Science and Analytics,22,5,18,beginner,assignment
CyberSecurity,5,19,29,beginner,quiz
Database Management,37,30,7,beginner,video
Artificial Intelligence and Machine Learning,31,9,28,beginner,assignment
Software Engineering and Development,25,18,34,beginner,assignment
Network and System Administration,0,12,16,beginner,quiz
IT Project Management,9,31,11,beginner,quiz
Devops and Systems Integration,29,15,27,beginner,assignment
CyberSecurity,15,17,7,beginner,video
Artificial Intelligence and Machine Learning,27,3,13,beginner,assignment
Database Management,16,34,15,beginner,video
Devops and Systems Integration,26,23,22,beginner,video
Devops and Systems Integration,26,6,27,beginner,assignment
Network and System Administration,29,23,18,beginner,video
CyberSecurity,39,22,23,beginner,assignment
Cloud Computing,4,27,19,beginner,quiz
Cloud Computing,6,31,19,beginner,quiz
Data Science and Analytics,22,12,31,beginner,assignment
Cloud Computing,19,2,5,beginner,assignment
Software Engineering and Development,21,27,29,beginner,quiz
Software Engineering and Development,19,28,4,beginner,video
Data Science and Analytics,27,24,21,beginner,video
Cloud Computing,15,5,9,beginner,assignment
Cloud Computing,24,32,23,beginner,video
IT Project Management,15,40,29,beginner,quiz
IT Project Management,37,28,9,beginner,video
CyberSecurity,6,6,6,beginner,quiz
Database Management,40,16,4,beginner,video
Artificial Intelligence and Machine Learning,6,4,27,beginner,assignment
Database Management,32,18,31,beginner,assignment
Web Development,26,5,8,beginner,assignment
Network and System Administration,3,4,1,beginner,video
Devops and Systems Integration,30,39,39,beginner,quiz
Software Engineering and Development,32,15,19,beginner,assignment
CyberSecurity,0,21,29,beginner,quiz
Artificial Intelligence and Machine Learning,24,38,38,beginner,quiz
Database Management,28,27,24,beginner,video
Network and System Administration,10,40,2,beginner,video
CyberSecurity,39,6,29,beginner,assignment
Database Management,9,9,24,beginner,quiz
Database Management,23,32,0,beginner,video
Artificial Intelligence and Machine Learning,39,35,19,beginner,video
Devops and Systems Integration,36,32,26,beginner,video
Web Development,8,3,38,beginner,assignment
Database Management,23,15,34,beginner,assignment
Web Development,17,34,22,beginner,quiz
Database Management,9,6,11,beginner,assignment
Devops and Systems Integration,37,2,4,beginner,assignment
Artificial Intelligence and Machine Learning,34,17,4,beginner,video
Web Development,22,12,32,beginner,assignment
CyberSecurity,29,33,4,beginner,video
Cloud Computing,39,18,34,beginner,assignment
Database Management,2,36,10,beginner,quiz
Data Science and Analytics,13,9,12,beginner,assignment
Web Development,36,23,2,beginner,video
CyberSecurity,38,4,26,beginner,assignment
IT Project Management,14,10,13,beginner,assignment
Cloud Computing,27,33,0,beginner,video
Web Development,22,37,37,beginner,quiz
Network and System Administration,4,34,1,beginner,video
CyberSecurity,31,4,30,beginner,assignment
IT Project Management,37,7,10,beginner,assignment
Cloud Computing,37,11,0,beginner,video
Software Engineering and Development,40,24,37,beginner,assignment
Cloud Computing,9,18,32,beginner,quiz
Devops and Systems Integration,31,7,14,beginner,assignment
IT Project Management,35,22,12,beginner,video
Software Engineering and Development,28,13,16,beginner,assignment
Data Science and Analytics,6,9,16,beginner,quiz
Web Development,37,29,34,beginner,assignment
Web Development,17,6,28,beginner,assignment
Network and System Administration,31,8,10,beginner,assignment
Artificial Intelligence and Machine Learning,1,24,11,beginner,quiz
Data Science and Analytics,12,16,0,beginner,video
Artificial Intelligence and Machine Learning,2,11,1,beginner,video
Web Development,18,20,17,beginner,video
Artificial Intelligence and Machine Learning,27,34,11,beginner,video
Data Science and Analytics,22,1,39,beginner,assignment
Cloud Computing,29,12,26,beginner,assignment
Software Engineering and Development,19,39,20,beginner,quiz
Artificial Intelligence and Machine Learning,12,8,4,beginner,video
Network and System Administration,29,37,37,beginner,quiz
Web Development,21,35,33,beginner,quiz
Data Science and Analytics,21,24,2,beginner,video
Artificial Intelligence and Machine Learning,4,39,25,beginner,quiz
IT Project Management,22,36,26,beginner,quiz
CyberSecurity,14,13,10,beginner,video
CyberSecurity,8,36,37,beginner,quiz
Web Development,36,23,4,beginner,video
Web Development,17,37,2,beginner,video
CyberSecurity,40,29,4,beginner,video
Artificial Intelligence and Machine Learning,5,0,36,beginner,assignment
Web Development,37,29,23,beginner,video
Network and System Administration,32,2,24,beginner,assignment
Database Management,6,30,31,beginner,quiz
Cloud Computing,35,33,28,beginner,video
Software Engineering and Development,25,8,25,beginner,assignment
Database Management,28,27,26,beginner,video
Software Engineering and Development,6,14,20,beginner,quiz
IT Project Management,4,33,13,beginner,quiz
IT Project Management,7,14,28,beginner,quiz
Software Engineering and Development,35,14,18,beginner,assignment
Data Science and Analytics,29,2,33,beginner,assignment
IT Project Management,28,7,39,beginner,assignment
Database Management,12,13,30,beginner,quiz
Web Development,40,33,7,beginner,video
Web Development,36,0,2,beginner,assignment
Artificial Intelligence and Machine Learning,32,16,37,beginner,assignment
Database Management,17,1,1,beginner,assignment
CyberSecurity,21,12,36,beginner,assignment
Devops and Systems Integration,32,18,12,beginner,video
CyberSecurity,6,13,30,beginner,quiz
Devops and Systems Integration,4,24,24,beginner,quiz
Database Management,21,18,19,beginner,assignment
Cloud Computing,16,14,13,beginner,video
Network and System Administration,31,1,0,beginner,video
Software Engineering and Development,21,1,1,beginner,assignment
Artificial Intelligence and Machine Learning,14,15,32,beginner,quiz
Data Science and Analytics,39,9,10,beginner,assignment
Data Science and Analytics,18,1,3,beginner,assignment
Cloud Computing,34,29,5,beginner,video
Database Management,9,21,7,beginner,video
Artificial Intelligence and Machine Learning,2,34,35,beginner,quiz
Network and System Administration,20,36,3,beginner,video
Artificial Intelligence and Machine Learning,3,24,10,beginner,quiz
Network and System Administration,19,19,19,beginner,quiz
Database Management,20,37,10,beginner,video
Web Development,3,13,25,beginner,quiz
IT Project Management,14,29,9,beginner,video
CyberSecurity,6,8,32,beginner,quiz
IT Project Management,17,27,12,beginner,video
IT Project Management,8,12,1,beginner,video
Devops and Systems Integration,3,21,21,beginner,quiz
Data Science and Analytics,37,21,16,beginner,video
Network and System Administration,27,12,25,beginner,assignment
Devops and Systems Integration,37,20,30,beginner,assignment
Data Science and Analytics,0,1,35,beginner,quiz
CyberSecurity,13,16,36,beginner,quiz
Cloud Computing,17,1,1,beginner,assignment
Cloud Computing,37,28,39,beginner,assignment
Cloud Computing,15,20,19,beginner,quiz
Devops and Systems Integration,26,31,34,beginner,quiz
IT Project Management,17,30,6,beginner,video
Web Development,38,33,25,beginner,video
Network and System Administration,35,10,21,beginner,assignment
Devops and Systems Integration,36,24,16,beginner,video
IT Project Management,20,28,4,beginner,video
IT Project Management,40,3,1,beginner,video
Devops and Systems Integration,31,1,9,beginner,assignment
Cloud Computing,16,29,24,beginner,quiz
Web Development,10,23,17,beginner,quiz
Database Management,32,37,16,beginner,video
Web Development,24,19,10,beginner,video
Software Engineering and Development,5,32,18,beginner,quiz
Web Development,30,10,27,beginner,assignment
Devops and Systems Integration,30,30,38,beginner,quiz
IT Project Management,3,0,14,beginner,assignment
Artificial Intelligence and Machine Learning,1,10,27,beginner,quiz
Software Engineering and Development,32,3,26,beginner,assignment
Database Management,33,31,13,beginner,video
Artificial Intelligence and Machine Learning,33,24,38,beginner,assignment
CyberSecurity,29,9,33,beginner,assignment
Data Science and Analytics,9,4,40,beginner,assignment
Software Engineering and Development,36,19,2,beginner,video
Database Management,2,22,4,beginner,quiz
CyberSecurity,2,12,31,beginner,quiz
IT Project Management,14,19,8,beginner,video
Cloud Computing,39,24,23,beginner,video
CyberSecurity,16,20,30,beginner,quiz
Data Science and Analytics,19,24,32,beginner,quiz
CyberSecurity,30,15,11,beginner,video
Cloud Computing,16,35,28,beginner,quiz
Cloud Computing,30,33,21,beginner,video
Database Management,4,17,19,beginner,quiz
Network and System Administration,21,16,26,beginner,assignment
Software Engineering and Development,4,20,40,beginner,quiz
Database Management,15,30,36,beginner,quiz
IT Project Management,35,33,5,beginner,video
Data Science and Analytics,19,25,27,beginner,quiz
IT Project Management,0,34,5,beginner,quiz
Cloud Computing,39,26,19,beginner,video
Devops and Systems Integration,37,7,29,beginner,assignment
Cloud Computing,24,20,4,beginner,video
Artificial Intelligence and Machine Learning,30,17,7,beginner,video
Network and System Administration,27,36,24,beginner,video
Software Engineering and Development,30,39,11,beginner,video
CyberSecurity,30,40,3,beginner,video
CyberSecurity,9,24,6,beginner,video
Software Engineering and Development,28,18,32,beginner,assignment
Artificial Intelligence and Machine Learning,27,23,37,beginner,assignment
CyberSecurity,1,4,21,beginner,quiz
Network and System Administration,18,37,2,beginner,video
Web Development,31,21,28,beginner,assignment
Network and System Administration,27,15,1,beginner,video
Database Management,30,18,15,beginner,video
IT Project Management,32,37,2,beginner,video
Devops and Systems Integration,7,34,1,beginner,video
Artificial Intelligence and Machine Learning,15,10,31,beginner,assignment
IT Project Management,11,19,31,beginner,quiz
Data Science and Analytics,5,17,33,beginner,quiz
IT Project Management,22,6,28,beginner,assignment
Network and System Administration,31,18,8,beginner,video
CyberSecurity,25,28,5,beginner,video
IT Project Management,12,26,17,beginner,quiz
Database Management,12,23,0,beginner,video
Network and System Administration,13,21,29,beginner,quiz
Software Engineering and Development,0,23,7,beginner,quiz
Cloud Computing,22,40,11,beginner,video
Devops and Systems Integration,38,40,29,beginner,video
Devops and Systems Integration,18,37,6,beginner,video
Web Development,40,30,37,beginner,assignment
Data Science and Analytics,24,38,3,beginner,video
IT Project Management,14,3,23,beginner,assignment
Database Management,14,27,2,beginner,video
CyberSecurity,8,2,10,beginner,assignment
Network and System Administration,13,31,2,beginner,video
Web Development,4,12,3,beginner,video
Software Engineering and Development,10,34,1,beginner,video
Software Engineering and Development,1,29,15,beginner,quiz
Data Science and Analytics,39,30,20,beginner,video
CyberSecurity,34,31,32,beginner,assignment
Artificial Intelligence and Machine Learning,32,14,25,beginner,assignment
Cloud Computing,6,34,34,beginner,quiz
IT Project Management,22,5,26,beginner,assignment
Data Science and Analytics,7,10,38,beginner,quiz
Database Management,29,28,2,beginner,video
Devops and Systems Integration,29,2,3,beginner,assignment
Network and System Administration,28,37,23,beginner,video
IT Project Management,28,26,0,beginner,video
Web Development,34,40,35,beginner,quiz
Devops and Systems Integration,40,27,21,beginner,video
CyberSecurity,36,9,0,beginner,video
Devops and Systems Integration,8,6,33,beginner,assignment
Web Development,7,40,40,beginner,quiz
IT Project Management,31,12,17,beginner,assignment
Network and System Administration,17,2,4,beginner,assignment
IT Project Management,28,18,22,beginner,assignment
Devops and Systems Integration,10,25,34,beginner,quiz
Devops and Systems Integration,3,2,38,beginner,assignment
Web Development,14,4,14,beginner,assignment
Web Development,19,3,30,beginner,assignment
Software Engineering and Development,17,7,20,beginner,assignment
Web Development,15,16,9,beginner,video
Network and System Administration,1,19,33,beginner,quiz
Network and System Administration,22,12,23,beginner,assignment
Artificial Intelligence and Machine Learning,12,28,24,beginner,quiz
Cloud Computing,9,29,36,beginner,quiz
Software Engineering and Development,32,4,5,beginner,assignment
Cloud Computing,4,18,23,beginner,quiz
Artificial Intelligence and Machine Learning,17,14,15,beginner,assignment
Web Development,32,40,38,beginner,quiz
Web Development,32,4,34,beginner,assignment
Data Science and Analytics,28,23,16,beginner,video
Web Development,36,12,22,beginner,assignment
Data Science and Analytics,25,36,35,beginner,quiz
IT Project Management,33,13,32,beginner,assignment
Database Management,31,4,5,beginner,assignment
Network and System Administration,1,4,19,beginner,quiz
Data Science and Analytics,5,36,23,beginner,quiz
Software Engineering and Development,26,9,16,beginner,assignment
Devops and Systems Integration,38,34,28,beginner,video
Artificial Intelligence and Machine Learning,5,24,25,beginner,quiz
Data Science and Analytics,2,30,23,beginner,quiz
Artificial Intelligence and Machine Learning,10,0,14,beginner,assignment
Cloud Computing,11,23,13,beginner,quiz
Software Engineering and Development,11,16,34,beginner,quiz
Software Engineering and Development,9,15,14,beginner,quiz
Artificial Intelligence and Machine Learning,2,2,35,beginner,quiz
Devops and Systems Integration,13,13,15,beginner,quiz
Artificial Intelligence and Machine Learning,17,26,40,beginner,quiz
IT Project Management,3,25,9,beginner,quiz
Data Science and Analytics,7,35,8,beginner,quiz
CyberSecurity,18,26,8,beginner,video
Artificial Intelligence and Machine Learning,37,36,36,beginner,assignment
Software Engineering and Development,40,18,18,beginner,assignment
IT Project Management,31,18,13,beginner,video
IT Project Management,18,17,4,beginner,video
Cloud Computing,0,34,26,beginner,quiz
Artificial Intelligence and Machine Learning,4,21,31,beginner,quiz
IT Project Management,22,40,8,beginner,video
Database Management,13,4,22,beginner,assignment
Devops and Systems Integration,21,20,10,beginner,video
Artificial Intelligence and Machine Learning,2,0,26,beginner,assignment
Database Management,1,7,16,beginner,quiz
Cloud Computing,35,28,7,beginner,video
Artificial Intelligence and Machine Learning,5,25,19,beginner,quiz
Cloud Computing,21,3,2,beginner,video
Database Management,11,30,16,beginner,quiz
Cloud Computing,15,37,24,beginner,quiz
Software Engineering and Development,22,14,9,beginner,video
Software Engineering and Development,6,39,19,beginner,quiz
Network and System Administration,20,34,17,beginner,video
CyberSecurity,16,3,22,beginner,assignment
Artificial Intelligence and Machine Learning,21,28,1,beginner,video
CyberSecurity,2,28,8,beginner,quiz
Data Science and Analytics,33,37,10,beginner,video
Software Engineering and Development,21,31,0,beginner,video
Devops and Systems Integration,24,19,19,beginner,assignment
Cloud Computing,29,24,38,beginner,assignment
Artificial Intelligence and Machine Learning,1,22,17,beginner,quiz
Artificial Intelligence and Machine Learning,34,19,19,beginner,assignment
CyberSecurity,11,12,39,beginner,quiz
Network and System Administration,23,16,20,beginner,assignment
Artificial Intelligence and Machine Learning,38,11,12,beginner,assignment
Artificial Intelligence and Machine Learning,30,4,39,beginner,assignment
Web Development,17,27,35,beginner,quiz
CyberSecurity,29,5,9,beginner,assignment
Network and System Administration,21,40,14,beginner,video
CyberSecurity,8,16,12,beginner,quiz
IT Project Management,29,40,13,beginner,video
Software Engineering and Development,18,2,3,beginner,assignment
Database Management,1,27,14,beginner,quiz
IT Project Management,3,28,0,beginner,video
Web Development,0,21,1,beginner,quiz
CyberSecurity,33,6,24,beginner,assignment
CyberSecurity,21,10,21,beginner,assignment
IT Project Management,26,30,40,beginner,quiz
Software Engineering and Development,17,10,19,beginner,assignment
IT Project Management,31,22,3,beginner,video
Web Development,22,19,1,beginner,video
Artificial Intelligence and Machine Learning,0,11,3,beginner,quiz
Artificial Intelligence and Machine Learning,39,39,10,beginner,video
Data Science and Analytics,16,19,12,beginner,video
IT Project Management,5,32,20,beginner,quiz
Software Engineering and Development,18,28,9,beginner,video
Web Development,27,37,25,beginner,video
Network and System Administration,28,33,0,beginner,video
Network and System Administration,0,34,14,beginner,quiz
Network and System Administration,27,23,8,beginner,video
Cloud Computing,32,11,21,beginner,assignment
Cloud Computing,36,14,13,beginner,video
IT Project Management,20,36,22,beginner,quiz
Software Engineering and Development,13,33,6,beginner,video
Data Science and Analytics,12,29,34,beginner,quiz
Web Development,12,7,33,beginner,assignment
Devops and Systems Integration,34,5,32,beginner,assignment
Software Engineering and Development,14,8,3,beginner,video
Web Development,30,32,32,beginner,quiz
Database Management,31,29,31,beginner,assignment
Software Engineering and Development,18,30,21,beginner,quiz
CyberSecurity,4,11,12,beginner,quiz
Cloud Computing,39,24,8,beginner,video
IT Project Management,9,14,12,beginner,quiz
IT Project Management,36,23,5,beginner,video
Database Management,35,21,20,beginner,video
Web Development,8,11,4,beginner,video
Cloud Computing,17,9,32,beginner,assignment
Database Management,34,22,39,beginner,assignment
Data Science and Analytics,17,52,24,beginner,quiz
IT Project Management,35,64,1,beginner,video
IT Project Management,35,63,28,beginner,video
Database Management,39,53,39,beginner,quiz
Web Development,13,43,37,beginner,quiz
Network and System Administration,10,58,13,beginner,quiz
IT Project Management,27,65,19,beginner,video
Database Management,18,60,24,beginner,quiz
Database Management,4,62,21,beginner,quiz
Software Engineering and Development,4,67,9,beginner,quiz
Network and System Administration,18,57,34,beginner,quiz
IT Project Management,18,62,21,beginner,quiz
Database Management,7,45,7,beginner,quiz
Data Science and Analytics,0,62,21,beginner,quiz
Cloud Computing,4,41,9,beginner,quiz
Data Science and Analytics,7,41,17,beginner,quiz
Database Management,2,48,33,beginner,quiz
IT Project Management,11,62,12,beginner,quiz
IT Project Management,13,52,37,beginner,quiz
Network and System Administration,15,56,27,beginner,quiz
Cloud Computing,21,49,9,beginner,video
Devops and Systems Integration,9,41,0,beginner,video
Software Engineering and Development,17,41,13,beginner,video
Network and System Administration,25,53,23,beginner,video
Software Engineering and Development,18,54,1,beginner,video
Software Engineering and Development,11,68,27,beginner,quiz
Devops and Systems Integration,37,63,10,beginner,video
Web Development,29,52,34,beginner,quiz
CyberSecurity,33,67,35,beginner,quiz
Devops and Systems Integration,1,64,33,beginner,quiz
IT Project Management,30,43,27,beginner,video
IT Project Management,16,57,5,beginner,video
Devops and Systems Integration,9,46,10,beginner,quiz
Software Engineering and Development,20,42,38,beginner,quiz
IT Project Management,30,67,32,beginner,quiz
Cloud Computing,30,41,29,beginner,video
Artificial Intelligence and Machine Learning,6,56,11,beginner,quiz
Cloud Computing,7,62,12,beginner,quiz
Cloud Computing,17,66,11,beginner,video
Database Management,16,43,36,beginner,quiz
CyberSecurity,1,45,35,beginner,quiz
Software Engineering and Development,10,53,37,beginner,quiz
Web Development,36,51,16,beginner,video
Devops and Systems Integration,9,56,18,beginner,quiz
Web Development,7,52,25,beginner,quiz
Database Management,38,49,4,beginner,video
Cloud Computing,38,67,10,beginner,video
Artificial Intelligence and Machine Learning,8,41,27,beginner,quiz
Cloud Computing,37,44,22,beginner,video
Network and System Administration,12,51,10,beginner,video
Devops and Systems Integration,33,61,28,beginner,video
IT Project Management,15,70,23,beginner,quiz
Web Development,25,59,22,beginner,video
Database Management,28,65,37,beginner,quiz
Web Development,1,41,36,beginner,quiz
CyberSecurity,25,67,10,beginner,video
Database Management,39,55,5,beginner,video
CyberSecurity,1,40,2,beginner,quiz
Artificial Intelligence and Machine Learning,18,45,40,beginner,quiz
Devops and Systems Integration,21,54,17,beginner,video
CyberSecurity,0,41,7,beginner,quiz
Devops and Systems Integration,11,42,39,beginner,quiz
Network and System Administration,25,69,16,beginner,video
Web Development,32,63,23,beginner,video
CyberSecurity,13,63,23,beginner,quiz
Network and System Administration,11,59,21,beginner,quiz
CyberSecurity,10,55,35,beginner,quiz
CyberSecurity,15,49,34,beginner,quiz
IT Project Management,8,69,6,beginner,video
Cloud Computing,5,61,32,beginner,quiz
IT Project Management,19,54,0,beginner,video
Data Science and Analytics,10,70,27,beginner,quiz
Artificial Intelligence and Machine Learning,27,40,29,beginner,quiz
Software Engineering and Development,13,42,14,beginner,quiz
Devops and Systems Integration,1,58,10,beginner,quiz
Data Science and Analytics,34,62,2,beginner,video
Artificial Intelligence and Machine Learning,0,42,4,beginner,quiz
Artificial Intelligence and Machine Learning,29,52,17,beginner,video
CyberSecurity,34,64,13,beginner,video
Cloud Computing,12,58,4,beginner,video
Cloud Computing,30,55,27,beginner,video
Software Engineering and Development,36,44,19,beginner,video
Devops and Systems Integration,26,63,2,beginner,video
IT Project Management,22,64,15,beginner,video
Software Engineering and Development,12,53,21,beginner,quiz
Data Science and Analytics,14,51,13,beginner,video
Database Management,2,41,32,beginner,quiz
Cloud Computing,12,50,15,beginner,quiz
Network and System Administration,13,57,22,beginner,quiz
Database Management,8,51,3,beginner,video
Data Science and Analytics,25,62,26,beginner,quiz
Artificial Intelligence and Machine Learning,19,63,0,beginner,video
Data Science and Analytics,6,41,20,beginner,quiz
Software Engineering and Development,26,60,3,beginner,video
CyberSecurity,23,45,8,beginner,video
CyberSecurity,4,60,17,beginner,quiz
Cloud Computing,22,53,37,beginner,quiz
Web Development,1,55,35,beginner,quiz
Web Development,12,41,5,beginner,video
Devops and Systems Integration,8,57,36,beginner,quiz
Software Engineering and Development,9,61,22,beginner,quiz
Data Science and Analytics,23,64,32,beginner,quiz
Network and System Administration,32,60,38,beginner,quiz
Database Management,40,57,3,beginner,video
Database Management,26,54,27,beginner,quiz
Data Science and Analytics,31,61,3,beginner,video
Software Engineering and Development,26,58,24,beginner,video
Cloud Computing,2,48,36,beginner,quiz
Devops and Systems Integration,10,68,2,beginner,video
CyberSecurity,8,50,33,beginner,quiz
IT Project Management,25,43,37,beginner,quiz
Cloud Computing,26,61,2,beginner,video
Artificial Intelligence and Machine Learning,12,70,6,beginner,video
Devops and Systems Integration,40,45,22,beginner,video
Data Science and Analytics,11,69,18,beginner,quiz
Devops and Systems Integration,23,56,9,beginner,video
Devops and Systems Integration,16,45,35,beginner,quiz
Devops and Systems Integration,30,47,4,beginner,video
Database Management,18,47,21,beginner,quiz
Devops and Systems Integration,39,59,7,beginner,video
Data Science and Analytics,24,41,3,beginner,video
Software Engineering and Development,0,44,24,beginner,quiz
IT Project Management,28,60,38,beginner,quiz
CyberSecurity,20,44,11,beginner,video
Artificial Intelligence and Machine Learning,2,46,22,beginner,quiz
CyberSecurity,15,50,36,beginner,quiz
Web Development,14,48,27,beginner,quiz
Data Science and Analytics,1,42,30,beginner,quiz
Web Development,39,69,2,beginner,video
Cloud Computing,21,53,28,beginner,quiz
Data Science and Analytics,25,55,27,beginner,quiz
Artificial Intelligence and Machine Learning,5,42,32,beginner,quiz
Cloud Computing,4,52,4,beginner,quiz
Artificial Intelligence and Machine Learning,17,44,10,beginner,video
Data Science and Analytics,8,50,32,beginner,quiz
Cloud Computing,0,41,21,beginner,quiz
IT Project Management,3,68,18,beginner,quiz
Network and System Administration,18,54,36,beginner,quiz
Artificial Intelligence and Machine Learning,1,42,2,beginner,quiz
Web Development,40,42,18,beginner,video
Software Engineering and Development,20,40,33,beginner,quiz
Network and System Administration,27,60,7,beginner,video
Database Management,20,66,37,beginner,quiz
Data Science and Analytics,8,44,14,beginner,quiz
Cloud Computing,7,70,18,beginner,quiz
Devops and Systems Integration,13,64,22,beginner,quiz
IT Project Management,28,55,2,beginner,video
Database Management,20,49,17,beginner,video
Database Management,39,56,37,beginner,video
Network and System Administration,25,66,24,beginner,video
Artificial Intelligence and Machine Learning,33,52,16,beginner,video
Artificial Intelligence and Machine Learning,22,48,30,beginner,quiz
Database Management,5,54,22,beginner,quiz
Network and System Administration,3,42,4,beginner,quiz
Web Development,11,58,17,beginner,quiz
Database Management,40,57,18,beginner,video
Cloud Computing,24,49,5,beginner,video
Artificial Intelligence and Machine Learning,39,56,1,beginner,video
Software Engineering and Development,11,68,35,beginner,quiz
Artificial Intelligence and Machine Learning,20,52,15,beginner,video
Artificial Intelligence and Machine Learning,22,52,32,beginner,quiz
Data Science and Analytics,13,54,28,beginner,quiz
Software Engineering and Development,26,70,33,beginner,quiz
Software Engineering and Development,22,70,4,beginner,video
Software Engineering and Development,31,63,16,beginner,video
Data Science and Analytics,4,70,12,beginner,quiz
Devops and Systems Integration,1,42,17,beginner,quiz
Software Engineering and Development,4,40,32,beginner,quiz
Cloud Computing,24,58,38,beginner,quiz
IT Project Management,9,54,15,beginner,quiz
Network and System Administration,35,54,5,beginner,video
Cloud Computing,39,42,8,beginner,video
IT Project Management,3,55,23,beginner,quiz
IT Project Management,34,56,18,beginner,video
Data Science and Analytics,6,45,8,beginner,quiz
Web Development,7,62,18,beginner,quiz
Devops and Systems Integration,1,44,15,beginner,quiz
Data Science and Analytics,6,66,5,beginner,video
Cloud Computing,13,60,24,beginner,quiz
IT Project Management,19,45,21,beginner,quiz
Devops and Systems Integration,18,56,22,beginner,quiz
Database Management,14,48,26,beginner,quiz
Database Management,10,60,24,beginner,quiz
Software Engineering and Development,32,62,16,beginner,video
IT Project Management,32,43,33,beginner,quiz
Devops and Systems Integration,37,56,13,beginner,video
IT Project Management,36,52,29,beginner,video
Devops and Systems Integration,23,56,34,beginner,quiz
Cloud Computing,38,60,32,beginner,video
Devops and Systems Integration,34,62,22,beginner,video
Software Engineering and Development,16,62,0,beginner,video
Network and System Administration,22,59,38,beginner,quiz
Network and System Administration,9,55,8,beginner,video
Cloud Computing,0,44,15,beginner,quiz
Data Science and Analytics,27,54,34,beginner,quiz
Software Engineering and Development,34,40,21,beginner,video
Artificial Intelligence and Machine Learning,23,55,3,beginner,video
CyberSecurity,40,48,20,beginner,video
Data Science and Analytics,8,45,11,beginner,quiz
IT Project Management,21,61,39,beginner,quiz
Network and System Administration,39,53,20,beginner,video
IT Project Management,31,69,27,beginner,video
Cloud Computing,9,41,1,beginner,video
Network and System Administration,5,68,24,beginner,quiz
Software Engineering and Development,31,55,27,beginner,video
Cloud Computing,2,45,14,beginner,quiz
Data Science and Analytics,39,59,11,beginner,video
Web Development,6,55,12,beginner,quiz
Web Development,21,41,10,beginner,video
IT Project Management,6,41,40,beginner,quiz
Data Science and Analytics,33,68,0,beginner,video
Artificial Intelligence and Machine Learning,25,44,33,beginner,quiz
Network and System Administration,5,62,24,beginner,quiz
Cloud Computing,35,40,22,beginner,video
Network and System Administration,17,69,25,beginner,quiz
Artificial Intelligence and Machine Learning,16,69,40,beginner,quiz
Web Development,3,44,4,beginner,quiz
IT Project Management,23,53,5,beginner,video
Artificial Intelligence and Machine Learning,28,46,22,beginner,video
Database Management,32,67,15,beginner,video
CyberSecurity,22,69,28,beginner,quiz
Devops and Systems Integration,0,41,11,beginner,quiz
Database Management,9,58,6,beginner,video
Devops and Systems Integration,22,46,18,beginner,video
Devops and Systems Integration,9,58,23,beginner,quiz
Data Science and Analytics,2,52,1,beginner,video
Database Management,24,68,8,beginner,video
Data Science and Analytics,21,50,36,beginner,quiz
Data Science and Analytics,34,43,9,beginner,video
Cloud Computing,22,52,27,beginner,quiz
Software Engineering and Development,26,66,20,beginner,video
Network and System Administration,10,45,23,beginner,quiz
Network and System Administration,2,49,5,beginner,quiz
Software Engineering and Development,21,67,16,beginner,video
Artificial Intelligence and Machine Learning,40,50,31,beginner,video
Web Development,16,44,33,beginner,quiz
Artificial Intelligence and Machine Learning,8,55,40,beginner,quiz
Network and System Administration,12,42,19,beginner,quiz
Devops and Systems Integration,40,53,29,beginner,video
IT Project Management,3,40,22,beginner,quiz
Cloud Computing,19,70,14,beginner,video
Cloud Computing,21,51,21,beginner,quiz
Devops and Systems Integration,7,52,23,beginner,quiz
IT Project Management,3,66,22,beginner,quiz
Artificial Intelligence and Machine Learning,36,57,25,beginner,video
Data Science and Analytics,26,41,4,beginner,video
Network and System Administration,5,66,26,beginner,quiz
Network and System Administration,15,67,16,beginner,quiz
Devops and Systems Integration,3,54,0,beginner,video
Web Development,37,55,13,beginner,video
Cloud Computing,14,70,33,beginner,quiz
Artificial Intelligence and Machine Learning,10,64,23,beginner,quiz
Network and System Administration,5,65,2,beginner,video
Cloud Computing,0,53,32,beginner,quiz
Artificial Intelligence and Machine Learning,11,59,14,beginner,quiz
Network and System Administration,22,52,29,beginner,quiz
Network and System Administration,24,61,37,beginner,quiz
Data Science and Analytics,5,41,17,beginner,quiz
Software Engineering and Development,17,44,5,beginner,video
Devops and Systems Integration,33,41,13,beginner,video
IT Project Management,30,58,4,beginner,video
Cloud Computing,12,45,6,beginner,video
Software Engineering and Development,25,50,38,beginner,quiz
Database Management,29,59,25,beginner,video
IT Project Management,5,45,43,beginner,quiz
Data Science and Analytics,2,58,57,beginner,quiz
Database Management,19,63,51,beginner,quiz
Database Management,37,52,67,beginner,quiz
Web Development,19,58,68,beginner,quiz
