Subject,Course Score,Learning Score,Quiz Score,Complexity,Learning Content
Devops and Systems Integration,39,36,26,Beginner,Video
Data Science and Analytics,22,20,28,Beginner,Assignment
Web Development,13,10,24,Beginner,Assignment
Network and System Administration,40,21,16,Beginner,Video
CyberSecurity,29,3,25,Beginner,Assignment
CyberSecurity,8,21,19,Beginner,Quiz
Cloud Computing,32,2,5,Beginner,Assignment
Web Development,6,7,33,Beginner,Quiz
Network and System Administration,4,25,11,Beginner,Quiz
IT Project Management,3,32,38,Beginner,Quiz
Data Science and Analytics,18,39,37,Beginner,Quiz
IT Project Management,23,0,5,Beginner,Assignment
Software Engineering and Development,26,32,16,Beginner,Video
Devops and Systems Integration,13,7,8,Beginner,Assignment
Web Development,13,23,23,Beginner,Quiz
Database Management,14,5,12,Beginner,Assignment
Data Science and Analytics,3,16,34,Beginner,Quiz
Software Engineering and Development,30,4,5,Beginner,Assignment
Database Management,11,33,3,Beginner,Video
IT Project Management,25,27,10,Beginner,Video
Network and System Administration,17,35,10,Beginner,Video
Database Management,18,2,25,Beginner,Assignment
CyberSecurity,14,18,5,Beginner,Video
CyberSecurity,14,35,35,Beginner,Quiz
Devops and Systems Integration,36,21,17,Beginner,Video
CyberSecurity,12,4,2,Beginner,Video
Cloud Computing,36,25,8,Beginner,Video
Network and System Administration,22,30,20,Beginner,Video
Artificial Intelligence and Machine Learning,6,20,9,Beginner,Quiz
Database Management,40,18,0,Beginner,Video
Network and System Administration,22,19,18,Beginner,Video
Web Development,16,3,2,Beginner,Video
Devops and Systems Integration,21,11,25,Beginner,Assignment
Web Development,23,26,23,Beginner,Quiz
IT Project Management,22,7,35,Beginner,Assignment
Devops and Systems Integration,19,28,14,Beginner,Video
Cloud Computing,1,35,1,Beginner,Quiz
Web Development,18,4,28,Beginner,Assignment
Devops and Systems Integration,4,5,33,Beginner,Quiz
Software Engineering and Development,37,22,31,Beginner,Assignment
IT Project Management,17,3,31,Beginner,Assignment
Devops and Systems Integration,27,2,13,Beginner,Assignment
Software Engineering and Development,24,24,4,Beginner,Video
CyberSecurity,23,17,36,Beginner,Assignment
CyberSecurity,40,26,30,Beginner,Assignment
Web Development,7,35,7,Beginner,Quiz
IT Project Management,17,24,22,Beginner,Quiz
Software Engineering and Development,24,12,0,Beginner,Video
Artificial Intelligence and Machine Learning,19,23,4,Beginner,Video
Network and System Administration,30,10,18,Beginner,Assignment
Network and System Administration,26,27,18,Beginner,Video
CyberSecurity,32,18,27,Beginner,Assignment
Artificial Intelligence and Machine Learning,22,33,14,Beginner,Video
CyberSecurity,24,0,16,Beginner,Assignment
Cloud Computing,40,9,36,Beginner,Assignment
IT Project Management,33,4,31,Beginner,Assignment
Network and System Administration,16,16,3,Beginner,Video
Network and System Administration,9,10,40,Beginner,Quiz
Devops and Systems Integration,29,33,25,Beginner,Video
Devops and Systems Integration,25,32,5,Beginner,Video
Devops and Systems Integration,8,20,34,Beginner,Quiz
Data Science and Analytics,22,5,18,Beginner,Assignment
CyberSecurity,5,19,29,Beginner,Quiz
Database Management,37,30,7,Beginner,Video
Artificial Intelligence and Machine Learning,31,9,28,Beginner,Assignment
Software Engineering and Development,25,18,34,Beginner,Assignment
Network and System Administration,0,12,16,Beginner,Quiz
IT Project Management,9,31,11,Beginner,Quiz
Devops and Systems Integration,29,15,27,Beginner,Assignment
CyberSecurity,15,17,7,Beginner,Video
Artificial Intelligence and Machine Learning,27,3,13,Beginner,Assignment
Database Management,16,34,15,Beginner,Video
Devops and Systems Integration,26,23,22,Beginner,Video
Devops and Systems Integration,26,6,27,Beginner,Assignment
Network and System Administration,29,23,18,Beginner,Video
CyberSecurity,39,22,23,Beginner,Assignment
Cloud Computing,4,27,19,Beginner,Quiz
Cloud Computing,6,31,19,Beginner,Quiz
Data Science and Analytics,22,12,31,Beginner,Assignment
Cloud Computing,19,2,5,Beginner,Assignment
Software Engineering and Development,21,27,29,Beginner,Quiz
Software Engineering and Development,19,28,4,Beginner,Video
Data Science and Analytics,27,24,21,Beginner,Video
Cloud Computing,15,5,9,Beginner,Assignment
Cloud Computing,24,32,23,Beginner,Video
IT Project Management,15,40,29,Beginner,Quiz
IT Project Management,37,28,9,Beginner,Video
CyberSecurity,6,6,6,Beginner,Quiz
Database Management,40,16,4,Beginner,Video
Artificial Intelligence and Machine Learning,6,4,27,Beginner,Assignment
Database Management,32,18,31,Beginner,Assignment
Web Development,26,5,8,Beginner,Assignment
Network and System Administration,3,4,1,Beginner,Video
Devops and Systems Integration,30,39,39,Beginner,Quiz
Software Engineering and Development,32,15,19,Beginner,Assignment
CyberSecurity,0,21,29,Beginner,Quiz
Artificial Intelligence and Machine Learning,24,38,38,Beginner,Quiz
Database Management,28,27,24,Beginner,Video
Network and System Administration,10,40,2,Beginner,Video
CyberSecurity,39,6,29,Beginner,Assignment
Database Management,9,9,24,Beginner,Quiz
Database Management,23,32,0,Beginner,Video
Artificial Intelligence and Machine Learning,39,35,19,Beginner,Video
Devops and Systems Integration,36,32,26,Beginner,Video
Web Development,8,3,38,Beginner,Assignment
Database Management,23,15,34,Beginner,Assignment
Web Development,17,34,22,Beginner,Quiz
Database Management,9,6,11,Beginner,Assignment
Devops and Systems Integration,37,2,4,Beginner,Assignment
Artificial Intelligence and Machine Learning,34,17,4,Beginner,Video
Web Development,22,12,32,Beginner,Assignment
CyberSecurity,29,33,4,Beginner,Video
Cloud Computing,39,18,34,Beginner,Assignment
Database Management,2,36,10,Beginner,Quiz
Data Science and Analytics,13,9,12,Beginner,Assignment
Web Development,36,23,2,Beginner,Video
CyberSecurity,38,4,26,Beginner,Assignment
IT Project Management,14,10,13,Beginner,Assignment
Cloud Computing,27,33,0,Beginner,Video
Web Development,22,37,37,Beginner,Quiz
Network and System Administration,4,34,1,Beginner,Video
CyberSecurity,31,4,30,Beginner,Assignment
IT Project Management,37,7,10,Beginner,Assignment
Cloud Computing,37,11,0,Beginner,Video
Software Engineering and Development,40,24,37,Beginner,Assignment
Cloud Computing,9,18,32,Beginner,Quiz
Devops and Systems Integration,31,7,14,Beginner,Assignment
IT Project Management,35,22,12,Beginner,Video
Software Engineering and Development,28,13,16,Beginner,Assignment
Data Science and Analytics,6,9,16,Beginner,Quiz
Web Development,37,29,34,Beginner,Assignment
Web Development,17,6,28,Beginner,Assignment
Network and System Administration,31,8,10,Beginner,Assignment
Artificial Intelligence and Machine Learning,1,24,11,Beginner,Quiz
Data Science and Analytics,12,16,0,Beginner,Video
Artificial Intelligence and Machine Learning,2,11,1,Beginner,Video
Web Development,18,20,17,Beginner,Video
Artificial Intelligence and Machine Learning,27,34,11,Beginner,Video
Data Science and Analytics,22,1,39,Beginner,Assignment
Cloud Computing,29,12,26,Beginner,Assignment
Software Engineering and Development,19,39,20,Beginner,Quiz
Artificial Intelligence and Machine Learning,12,8,4,Beginner,Video
Network and System Administration,29,37,37,Beginner,Quiz
Web Development,21,35,33,Beginner,Quiz
Data Science and Analytics,21,24,2,Beginner,Video
Artificial Intelligence and Machine Learning,4,39,25,Beginner,Quiz
IT Project Management,22,36,26,Beginner,Quiz
CyberSecurity,14,13,10,Beginner,Video
CyberSecurity,8,36,37,Beginner,Quiz
Web Development,36,23,4,Beginner,Video
Web Development,17,37,2,Beginner,Video
CyberSecurity,40,29,4,Beginner,Video
Artificial Intelligence and Machine Learning,5,0,36,Beginner,Assignment
Web Development,37,29,23,Beginner,Video
Network and System Administration,32,2,24,Beginner,Assignment
Database Management,6,30,31,Beginner,Quiz
Cloud Computing,35,33,28,Beginner,Video
Software Engineering and Development,25,8,25,Beginner,Assignment
Database Management,28,27,26,Beginner,Video
Software Engineering and Development,6,14,20,Beginner,Quiz
IT Project Management,4,33,13,Beginner,Quiz
IT Project Management,7,14,28,Beginner,Quiz
Software Engineering and Development,35,14,18,Beginner,Assignment
Data Science and Analytics,29,2,33,Beginner,Assignment
IT Project Management,28,7,39,Beginner,Assignment
Database Management,12,13,30,Beginner,Quiz
Web Development,40,33,7,Beginner,Video
Web Development,36,0,2,Beginner,Assignment
Artificial Intelligence and Machine Learning,32,16,37,Beginner,Assignment
Database Management,17,1,1,Beginner,Assignment
CyberSecurity,21,12,36,Beginner,Assignment
Devops and Systems Integration,32,18,12,Beginner,Video
CyberSecurity,6,13,30,Beginner,Quiz
Devops and Systems Integration,4,24,24,Beginner,Quiz
Database Management,21,18,19,Beginner,Assignment
Cloud Computing,16,14,13,Beginner,Video
Network and System Administration,31,1,0,Beginner,Video
Software Engineering and Development,21,1,1,Beginner,Assignment
Artificial Intelligence and Machine Learning,14,15,32,Beginner,Quiz
Data Science and Analytics,39,9,10,Beginner,Assignment
Data Science and Analytics,18,1,3,Beginner,Assignment
Cloud Computing,34,29,5,Beginner,Video
Database Management,9,21,7,Beginner,Video
Artificial Intelligence and Machine Learning,2,34,35,Beginner,Quiz
Network and System Administration,20,36,3,Beginner,Video
Artificial Intelligence and Machine Learning,3,24,10,Beginner,Quiz
Network and System Administration,19,19,19,Beginner,Quiz
Database Management,20,37,10,Beginner,Video
Web Development,3,13,25,Beginner,Quiz
IT Project Management,14,29,9,Beginner,Video
CyberSecurity,6,8,32,Beginner,Quiz
IT Project Management,17,27,12,Beginner,Video
IT Project Management,8,12,1,Beginner,Video
Devops and Systems Integration,3,21,21,Beginner,Quiz
Data Science and Analytics,37,21,16,Beginner,Video
Network and System Administration,27,12,25,Beginner,Assignment
Devops and Systems Integration,37,20,30,Beginner,Assignment
Data Science and Analytics,0,1,35,Beginner,Quiz
CyberSecurity,13,16,36,Beginner,Quiz
Cloud Computing,17,1,1,Beginner,Assignment
Cloud Computing,37,28,39,Beginner,Assignment
Cloud Computing,15,20,19,Beginner,Quiz
Devops and Systems Integration,26,31,34,Beginner,Quiz
IT Project Management,17,30,6,Beginner,Video
Web Development,38,33,25,Beginner,Video
Network and System Administration,35,10,21,Beginner,Assignment
Devops and Systems Integration,36,24,16,Beginner,Video
IT Project Management,20,28,4,Beginner,Video
IT Project Management,40,3,1,Beginner,Video
Devops and Systems Integration,31,1,9,Beginner,Assignment
Cloud Computing,16,29,24,Beginner,Quiz
Web Development,10,23,17,Beginner,Quiz
Database Management,32,37,16,Beginner,Video
Web Development,24,19,10,Beginner,Video
Software Engineering and Development,5,32,18,Beginner,Quiz
Web Development,30,10,27,Beginner,Assignment
Devops and Systems Integration,30,30,38,Beginner,Quiz
IT Project Management,3,0,14,Beginner,Assignment
Artificial Intelligence and Machine Learning,1,10,27,Beginner,Quiz
Software Engineering and Development,32,3,26,Beginner,Assignment
Database Management,33,31,13,Beginner,Video
Artificial Intelligence and Machine Learning,33,24,38,Beginner,Assignment
CyberSecurity,29,9,33,Beginner,Assignment
Data Science and Analytics,9,4,40,Beginner,Assignment
Software Engineering and Development,36,19,2,Beginner,Video
Database Management,2,22,4,Beginner,Quiz
CyberSecurity,2,12,31,Beginner,Quiz
IT Project Management,14,19,8,Beginner,Video
Cloud Computing,39,24,23,Beginner,Video
CyberSecurity,16,20,30,Beginner,Quiz
Data Science and Analytics,19,24,32,Beginner,Quiz
CyberSecurity,30,15,11,Beginner,Video
Cloud Computing,16,35,28,Beginner,Quiz
Cloud Computing,30,33,21,Beginner,Video
Database Management,4,17,19,Beginner,Quiz
Network and System Administration,21,16,26,Beginner,Assignment
Software Engineering and Development,4,20,40,Beginner,Quiz
Database Management,15,30,36,Beginner,Quiz
IT Project Management,35,33,5,Beginner,Video
Data Science and Analytics,19,25,27,Beginner,Quiz
IT Project Management,0,34,5,Beginner,Quiz
Cloud Computing,39,26,19,Beginner,Video
Devops and Systems Integration,37,7,29,Beginner,Assignment
Cloud Computing,24,20,4,Beginner,Video
Artificial Intelligence and Machine Learning,30,17,7,Beginner,Video
Network and System Administration,27,36,24,Beginner,Video
Software Engineering and Development,30,39,11,Beginner,Video
CyberSecurity,30,40,3,Beginner,Video
CyberSecurity,9,24,6,Beginner,Video
Software Engineering and Development,28,18,32,Beginner,Assignment
Artificial Intelligence and Machine Learning,27,23,37,Beginner,Assignment
CyberSecurity,1,4,21,Beginner,Quiz
Network and System Administration,18,37,2,Beginner,Video
Web Development,31,21,28,Beginner,Assignment
Network and System Administration,27,15,1,Beginner,Video
Database Management,30,18,15,Beginner,Video
IT Project Management,32,37,2,Beginner,Video
Devops and Systems Integration,7,34,1,Beginner,Video
Artificial Intelligence and Machine Learning,15,10,31,Beginner,Assignment
IT Project Management,11,19,31,Beginner,Quiz
Data Science and Analytics,5,17,33,Beginner,Quiz
IT Project Management,22,6,28,Beginner,Assignment
Network and System Administration,31,18,8,Beginner,Video
CyberSecurity,25,28,5,Beginner,Video
IT Project Management,12,26,17,Beginner,Quiz
Database Management,12,23,0,Beginner,Video
Network and System Administration,13,21,29,Beginner,Quiz
Software Engineering and Development,0,23,7,Beginner,Quiz
Cloud Computing,22,40,11,Beginner,Video
Devops and Systems Integration,38,40,29,Beginner,Video
Devops and Systems Integration,18,37,6,Beginner,Video
Web Development,40,30,37,Beginner,Assignment
Data Science and Analytics,24,38,3,Beginner,Video
IT Project Management,14,3,23,Beginner,Assignment
Database Management,14,27,2,Beginner,Video
CyberSecurity,8,2,10,Beginner,Assignment
Network and System Administration,13,31,2,Beginner,Video
Web Development,4,12,3,Beginner,Video
Software Engineering and Development,10,34,1,Beginner,Video
Software Engineering and Development,1,29,15,Beginner,Quiz
Data Science and Analytics,39,30,20,Beginner,Video
CyberSecurity,34,31,32,Beginner,Assignment
Artificial Intelligence and Machine Learning,32,14,25,Beginner,Assignment
Cloud Computing,6,34,34,Beginner,Quiz
IT Project Management,22,5,26,Beginner,Assignment
Data Science and Analytics,7,10,38,Beginner,Quiz
Database Management,29,28,2,Beginner,Video
Devops and Systems Integration,29,2,3,Beginner,Assignment
Network and System Administration,28,37,23,Beginner,Video
IT Project Management,28,26,0,Beginner,Video
Web Development,34,40,35,Beginner,Quiz
Devops and Systems Integration,40,27,21,Beginner,Video
CyberSecurity,36,9,0,Beginner,Video
Devops and Systems Integration,8,6,33,Beginner,Assignment
Web Development,7,40,40,Beginner,Quiz
IT Project Management,31,12,17,Beginner,Assignment
Network and System Administration,17,2,4,Beginner,Assignment
IT Project Management,28,18,22,Beginner,Assignment
Devops and Systems Integration,10,25,34,Beginner,Quiz
Devops and Systems Integration,3,2,38,Beginner,Assignment
Web Development,14,4,14,Beginner,Assignment
Web Development,19,3,30,Beginner,Assignment
Software Engineering and Development,17,7,20,Beginner,Assignment
Web Development,15,16,9,Beginner,Video
Network and System Administration,1,19,33,Beginner,Quiz
Network and System Administration,22,12,23,Beginner,Assignment
Artificial Intelligence and Machine Learning,12,28,24,Beginner,Quiz
Cloud Computing,9,29,36,Beginner,Quiz
Software Engineering and Development,32,4,5,Beginner,Assignment
Cloud Computing,4,18,23,Beginner,Quiz
Artificial Intelligence and Machine Learning,17,14,15,Beginner,Assignment
Web Development,32,40,38,Beginner,Quiz
Web Development,32,4,34,Beginner,Assignment
Data Science and Analytics,28,23,16,Beginner,Video
Web Development,36,12,22,Beginner,Assignment
Data Science and Analytics,25,36,35,Beginner,Quiz
IT Project Management,33,13,32,Beginner,Assignment
Database Management,31,4,5,Beginner,Assignment
Network and System Administration,1,4,19,Beginner,Quiz
Data Science and Analytics,5,36,23,Beginner,Quiz
Software Engineering and Development,26,9,16,Beginner,Assignment
Devops and Systems Integration,38,34,28,Beginner,Video
Artificial Intelligence and Machine Learning,5,24,25,Beginner,Quiz
Data Science and Analytics,2,30,23,Beginner,Quiz
Artificial Intelligence and Machine Learning,10,0,14,Beginner,Assignment
Cloud Computing,11,23,13,Beginner,Quiz
Software Engineering and Development,11,16,34,Beginner,Quiz
Software Engineering and Development,9,15,14,Beginner,Quiz
Artificial Intelligence and Machine Learning,2,2,35,Beginner,Quiz
Devops and Systems Integration,13,13,15,Beginner,Quiz
Artificial Intelligence and Machine Learning,17,26,40,Beginner,Quiz
IT Project Management,3,25,9,Beginner,Quiz
Data Science and Analytics,7,35,8,Beginner,Quiz
CyberSecurity,18,26,8,Beginner,Video
Artificial Intelligence and Machine Learning,37,36,36,Beginner,Assignment
Software Engineering and Development,40,18,18,Beginner,Assignment
IT Project Management,31,18,13,Beginner,Video
IT Project Management,18,17,4,Beginner,Video
Cloud Computing,0,34,26,Beginner,Quiz
Artificial Intelligence and Machine Learning,4,21,31,Beginner,Quiz
IT Project Management,22,40,8,Beginner,Video
Database Management,13,4,22,Beginner,Assignment
Devops and Systems Integration,21,20,10,Beginner,Video
Artificial Intelligence and Machine Learning,2,0,26,Beginner,Assignment
Database Management,1,7,16,Beginner,Quiz
Cloud Computing,35,28,7,Beginner,Video
Artificial Intelligence and Machine Learning,5,25,19,Beginner,Quiz
Cloud Computing,21,3,2,Beginner,Video
Database Management,11,30,16,Beginner,Quiz
Cloud Computing,15,37,24,Beginner,Quiz
Software Engineering and Development,22,14,9,Beginner,Video
Software Engineering and Development,6,39,19,Beginner,Quiz
Network and System Administration,20,34,17,Beginner,Video
CyberSecurity,16,3,22,Beginner,Assignment
Artificial Intelligence and Machine Learning,21,28,1,Beginner,Video
CyberSecurity,2,28,8,Beginner,Quiz
Data Science and Analytics,33,37,10,Beginner,Video
Software Engineering and Development,21,31,0,Beginner,Video
Devops and Systems Integration,24,19,19,Beginner,Assignment
Cloud Computing,29,24,38,Beginner,Assignment
Artificial Intelligence and Machine Learning,1,22,17,Beginner,Quiz
Artificial Intelligence and Machine Learning,34,19,19,Beginner,Assignment
CyberSecurity,11,12,39,Beginner,Quiz
Network and System Administration,23,16,20,Beginner,Assignment
Artificial Intelligence and Machine Learning,38,11,12,Beginner,Assignment
Artificial Intelligence and Machine Learning,30,4,39,Beginner,Assignment
Web Development,17,27,35,Beginner,Quiz
CyberSecurity,29,5,9,Beginner,Assignment
Network and System Administration,21,40,14,Beginner,Video
CyberSecurity,8,16,12,Beginner,Quiz
IT Project Management,29,40,13,Beginner,Video
Software Engineering and Development,18,2,3,Beginner,Assignment
Database Management,1,27,14,Beginner,Quiz
IT Project Management,3,28,0,Beginner,Video
Web Development,0,21,1,Beginner,Quiz
CyberSecurity,33,6,24,Beginner,Assignment
CyberSecurity,21,10,21,Beginner,Assignment
IT Project Management,26,30,40,Beginner,Quiz
Software Engineering and Development,17,10,19,Beginner,Assignment
IT Project Management,31,22,3,Beginner,Video
Web Development,22,19,1,Beginner,Video
Artificial Intelligence and Machine Learning,0,11,3,Beginner,Quiz
Artificial Intelligence and Machine Learning,39,39,10,Beginner,Video
Data Science and Analytics,16,19,12,Beginner,Video
IT Project Management,5,32,20,Beginner,Quiz
Software Engineering and Development,18,28,9,Beginner,Video
Web Development,27,37,25,Beginner,Video
Network and System Administration,28,33,0,Beginner,Video
Network and System Administration,0,34,14,Beginner,Quiz
Network and System Administration,27,23,8,Beginner,Video
Cloud Computing,32,11,21,Beginner,Assignment
Cloud Computing,36,14,13,Beginner,Video
IT Project Management,20,36,22,Beginner,Quiz
Software Engineering and Development,13,33,6,Beginner,Video
Data Science and Analytics,12,29,34,Beginner,Quiz
Web Development,12,7,33,Beginner,Assignment
Devops and Systems Integration,34,5,32,Beginner,Assignment
Software Engineering and Development,14,8,3,Beginner,Video
Web Development,30,32,32,Beginner,Quiz
Database Management,31,29,31,Beginner,Assignment
Software Engineering and Development,18,30,21,Beginner,Quiz
CyberSecurity,4,11,12,Beginner,Quiz
Cloud Computing,39,24,8,Beginner,Video
IT Project Management,9,14,12,Beginner,Quiz
IT Project Management,36,23,5,Beginner,Video
Database Management,35,21,20,Beginner,Video
Web Development,8,11,4,Beginner,Video
Cloud Computing,17,9,32,Beginner,Assignment
Database Management,34,22,39,Beginner,Assignment
Data Science and Analytics,17,52,24,Beginner,Quiz
IT Project Management,35,64,1,Beginner,Video
IT Project Management,35,63,28,Beginner,Video
Database Management,39,53,39,Beginner,Quiz
Web Development,13,43,37,Beginner,Quiz
Network and System Administration,10,58,13,Beginner,Quiz
IT Project Management,27,65,19,Beginner,Video
Database Management,18,60,24,Beginner,Quiz
Database Management,4,62,21,Beginner,Quiz
Software Engineering and Development,4,67,9,Beginner,Quiz
Network and System Administration,18,57,34,Beginner,Quiz
IT Project Management,18,62,21,Beginner,Quiz
Database Management,7,45,7,Beginner,Quiz
Data Science and Analytics,0,62,21,Beginner,Quiz
Cloud Computing,4,41,9,Beginner,Quiz
Data Science and Analytics,7,41,17,Beginner,Quiz
Database Management,2,48,33,Beginner,Quiz
IT Project Management,11,62,12,Beginner,Quiz
IT Project Management,13,52,37,Beginner,Quiz
Network and System Administration,15,56,27,Beginner,Quiz
Cloud Computing,21,49,9,Beginner,Video
Devops and Systems Integration,9,41,0,Beginner,Video
Software Engineering and Development,17,41,13,Beginner,Video
Network and System Administration,25,53,23,Beginner,Video
Software Engineering and Development,18,54,1,Beginner,Video
Software Engineering and Development,11,68,27,Beginner,Quiz
Devops and Systems Integration,37,63,10,Beginner,Video
Web Development,29,52,34,Beginner,Quiz
CyberSecurity,33,67,35,Beginner,Quiz
Devops and Systems Integration,1,64,33,Beginner,Quiz
IT Project Management,30,43,27,Beginner,Video
IT Project Management,16,57,5,Beginner,Video
Devops and Systems Integration,9,46,10,Beginner,Quiz
Software Engineering and Development,20,42,38,Beginner,Quiz
IT Project Management,30,67,32,Beginner,Quiz
Cloud Computing,30,41,29,Beginner,Video
Artificial Intelligence and Machine Learning,6,56,11,Beginner,Quiz
Cloud Computing,7,62,12,Beginner,Quiz
Cloud Computing,17,66,11,Beginner,Video
Database Management,16,43,36,Beginner,Quiz
CyberSecurity,1,45,35,Beginner,Quiz
Software Engineering and Development,10,53,37,Beginner,Quiz
Web Development,36,51,16,Beginner,Video
Devops and Systems Integration,9,56,18,Beginner,Quiz
Web Development,7,52,25,Beginner,Quiz
Database Management,38,49,4,Beginner,Video
Cloud Computing,38,67,10,Beginner,Video
Artificial Intelligence and Machine Learning,8,41,27,Beginner,Quiz
Cloud Computing,37,44,22,Beginner,Video
Network and System Administration,12,51,10,Beginner,Video
Devops and Systems Integration,33,61,28,Beginner,Video
IT Project Management,15,70,23,Beginner,Quiz
Web Development,25,59,22,Beginner,Video
Database Management,28,65,37,Beginner,Quiz
Web Development,1,41,36,Beginner,Quiz
CyberSecurity,25,67,10,Beginner,Video
Database Management,39,55,5,Beginner,Video
CyberSecurity,1,40,2,Beginner,Quiz
Artificial Intelligence and Machine Learning,18,45,40,Beginner,Quiz
Devops and Systems Integration,21,54,17,Beginner,Video
CyberSecurity,0,41,7,Beginner,Quiz
Devops and Systems Integration,11,42,39,Beginner,Quiz
Network and System Administration,25,69,16,Beginner,Video
Web Development,32,63,23,Beginner,Video
CyberSecurity,13,63,23,Beginner,Quiz
Network and System Administration,11,59,21,Beginner,Quiz
CyberSecurity,10,55,35,Beginner,Quiz
CyberSecurity,15,49,34,Beginner,Quiz
IT Project Management,8,69,6,Beginner,Video
Cloud Computing,5,61,32,Beginner,Quiz
IT Project Management,19,54,0,Beginner,Video
Data Science and Analytics,10,70,27,Beginner,Quiz
Artificial Intelligence and Machine Learning,27,40,29,Beginner,Quiz
Software Engineering and Development,13,42,14,Beginner,Quiz
Devops and Systems Integration,1,58,10,Beginner,Quiz
Data Science and Analytics,34,62,2,Beginner,Video
Artificial Intelligence and Machine Learning,0,42,4,Beginner,Quiz
Artificial Intelligence and Machine Learning,29,52,17,Beginner,Video
CyberSecurity,34,64,13,Beginner,Video
Cloud Computing,12,58,4,Beginner,Video
Cloud Computing,30,55,27,Beginner,Video
Software Engineering and Development,36,44,19,Beginner,Video
Devops and Systems Integration,26,63,2,Beginner,Video
IT Project Management,22,64,15,Beginner,Video
Software Engineering and Development,12,53,21,Beginner,Quiz
Data Science and Analytics,14,51,13,Beginner,Video
Database Management,2,41,32,Beginner,Quiz
Cloud Computing,12,50,15,Beginner,Quiz
Network and System Administration,13,57,22,Beginner,Quiz
Database Management,8,51,3,Beginner,Video
Data Science and Analytics,25,62,26,Beginner,Quiz
Artificial Intelligence and Machine Learning,19,63,0,Beginner,Video
Data Science and Analytics,6,41,20,Beginner,Quiz
Software Engineering and Development,26,60,3,Beginner,Video
CyberSecurity,23,45,8,Beginner,Video
CyberSecurity,4,60,17,Beginner,Quiz
Cloud Computing,22,53,37,Beginner,Quiz
Web Development,1,55,35,Beginner,Quiz
Web Development,12,41,5,Beginner,Video
Devops and Systems Integration,8,57,36,Beginner,Quiz
Software Engineering and Development,9,61,22,Beginner,Quiz
Data Science and Analytics,23,64,32,Beginner,Quiz
Network and System Administration,32,60,38,Beginner,Quiz
Database Management,40,57,3,Beginner,Video
Database Management,26,54,27,Beginner,Quiz
Data Science and Analytics,31,61,3,Beginner,Video
Software Engineering and Development,26,58,24,Beginner,Video
Cloud Computing,2,48,36,Beginner,Quiz
Devops and Systems Integration,10,68,2,Beginner,Video
CyberSecurity,8,50,33,Beginner,Quiz
IT Project Management,25,43,37,Beginner,Quiz
Cloud Computing,26,61,2,Beginner,Video
Artificial Intelligence and Machine Learning,12,70,6,Beginner,Video
Devops and Systems Integration,40,45,22,Beginner,Video
Data Science and Analytics,11,69,18,Beginner,Quiz
Devops and Systems Integration,23,56,9,Beginner,Video
Devops and Systems Integration,16,45,35,Beginner,Quiz
Devops and Systems Integration,30,47,4,Beginner,Video
Database Management,18,47,21,Beginner,Quiz
Devops and Systems Integration,39,59,7,Beginner,Video
Data Science and Analytics,24,41,3,Beginner,Video
Software Engineering and Development,0,44,24,Beginner,Quiz
IT Project Management,28,60,38,Beginner,Quiz
CyberSecurity,20,44,11,Beginner,Video
Artificial Intelligence and Machine Learning,2,46,22,Beginner,Quiz
CyberSecurity,15,50,36,Beginner,Quiz
Web Development,14,48,27,Beginner,Quiz
Data Science and Analytics,1,42,30,Beginner,Quiz
Web Development,39,69,2,Beginner,Video
Cloud Computing,21,53,28,Beginner,Quiz
Data Science and Analytics,25,55,27,Beginner,Quiz
Artificial Intelligence and Machine Learning,5,42,32,Beginner,Quiz
Cloud Computing,4,52,4,Beginner,Quiz
Artificial Intelligence and Machine Learning,17,44,10,Beginner,Video
Data Science and Analytics,8,50,32,Beginner,Quiz
Cloud Computing,0,41,21,Beginner,Quiz
IT Project Management,3,68,18,Beginner,Quiz
Network and System Administration,18,54,36,Beginner,Quiz
Artificial Intelligence and Machine Learning,1,42,2,Beginner,Quiz
Web Development,40,42,18,Beginner,Video
Software Engineering and Development,20,40,33,Beginner,Quiz
Network and System Administration,27,60,7,Beginner,Video
Database Management,20,66,37,Beginner,Quiz
Data Science and Analytics,8,44,14,Beginner,Quiz
Cloud Computing,7,70,18,Beginner,Quiz
Devops and Systems Integration,13,64,22,Beginner,Quiz
IT Project Management,28,55,2,Beginner,Video
Database Management,20,49,17,Beginner,Video
Database Management,39,56,37,Beginner,Video
Network and System Administration,25,66,24,Beginner,Video
Artificial Intelligence and Machine Learning,33,52,16,Beginner,Video
Artificial Intelligence and Machine Learning,22,48,30,Beginner,Quiz
Database Management,5,54,22,Beginner,Quiz
Network and System Administration,3,42,4,Beginner,Quiz
Web Development,11,58,17,Beginner,Quiz
Database Management,40,57,18,Beginner,Video
Cloud Computing,24,49,5,Beginner,Video
Artificial Intelligence and Machine Learning,39,56,1,Beginner,Video
Software Engineering and Development,11,68,35,Beginner,Quiz
Artificial Intelligence and Machine Learning,20,52,15,Beginner,Video
Artificial Intelligence and Machine Learning,22,52,32,Beginner,Quiz
Data Science and Analytics,13,54,28,Beginner,Quiz
Software Engineering and Development,26,70,33,Beginner,Quiz
Software Engineering and Development,22,70,4,Beginner,Video
Software Engineering and Development,31,63,16,Beginner,Video
Data Science and Analytics,4,70,12,Beginner,Quiz
Devops and Systems Integration,1,42,17,Beginner,Quiz
Software Engineering and Development,4,40,32,Beginner,Quiz
Cloud Computing,24,58,38,Beginner,Quiz
